Results: 	[0.9535]	
Results: 	[0.9535, 0.9552]	
Results: 	[0.9535, 0.9552, 0.9525]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527, 0.9538]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527, 0.9538, 0.952]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527, 0.9538, 0.952, 0.9537]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527, 0.9538, 0.952, 0.9537, 0.9529]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527, 0.9538, 0.952, 0.9537, 0.9529, 0.9548]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527, 0.9538, 0.952, 0.9537, 0.9529, 0.9548, 0.957]	
Results: 	[0.9535, 0.9552, 0.9525, 0.9534, 0.9512, 0.9527, 0.9516, 0.9552, 0.951, 0.9542, 0.9506, 0.9549, 0.9526, 0.9527, 0.9538, 0.952, 0.9537, 0.9529, 0.9548, 0.957, 0.955]	
