Molecule_1:CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1; Pred:0.0; Label:0
Molecule_2:CCCCC(CC)COC(=O)c1ccccc1C(=O)O; Pred:0.0; Label:0
Molecule_3:CC(C)(CO)CO; Pred:0.0; Label:0
Molecule_4:CCCBr; Pred:1.0; Label:0
Molecule_5:O=C(O)c1ccccc1C(=O)O; Pred:0.0; Label:0
Molecule_6:COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl; Pred:0.0; Label:0
Molecule_7:N#CC(C#N)=Cc1ccccc1Cl; Pred:0.0; Label:0
Molecule_8:O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1; Pred:0.0; Label:0
Molecule_9:Cc1cccc(O)c1N; Pred:0.0; Label:0
Molecule_10:OCCOCCO; Pred:0.0; Label:0
Molecule_11:C=CCc1ccc2c(c1)OCO2; Pred:0.0; Label:0
Molecule_12:CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@@H](O)[C@H](O)C1CC1; Pred:0.0; Label:0
Molecule_13:CC12CCC(C(=O)C1=O)C2(C)C; Pred:0.0; Label:0
Molecule_14:CCCCC(CC)COC(=O)CCCCC(=O)O; Pred:0.0; Label:0
Molecule_15:CC(C)Cc1ccc(C(C)C(=O)O)cc1; Pred:0.0; Label:0
Molecule_16:CCCC(=O)O; Pred:0.0; Label:0
Molecule_17:O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.[Cr+3]; Pred:0.0; Label:0
Molecule_18:O=C(Cl)c1ccc(Cl)cc1; Pred:1.0; Label:0
Molecule_19:Cc1nc2ccccc2s1; Pred:0.0; Label:0
Molecule_20:CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C; Pred:0.0; Label:0
Molecule_21:N#CN=C(N)N; Pred:0.0; Label:0
Molecule_22:Cc1ccc(N)c(S(=O)(=O)O)c1; Pred:0.0; Label:0
Molecule_23:CCCCCCCCCCO; Pred:0.0; Label:0
Molecule_24:COc1ccccc1/C=C/C=O; Pred:0.0; Label:0
Molecule_25:CC(C)=CCl; Pred:0.0; Label:0
Molecule_26:CCC(C)=O; Pred:0.0; Label:0
Molecule_27:Oc1ccccc1O; Pred:1.0; Label:0
Molecule_28:COc1ccc(C=O)cc1OC; Pred:0.0; Label:0
Molecule_29:CCOCCOC(C)=O; Pred:0.0; Label:0
Molecule_30:O=C1C(O)=C(O)OC1C(O)CO; Pred:0.0; Label:0
Molecule_31:CCOc1cc(C=O)ccc1O; Pred:0.0; Label:0
Molecule_32:CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1; Pred:0.0; Label:0
Molecule_33:O=[V](=O)O[V](=O)=O; Pred:0.0; Label:0
Molecule_34:O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O; Pred:0.0; Label:0
Molecule_35:CCOP(=S)(Cl)OCC; Pred:0.0; Label:0
Molecule_36:C=C(C)C(=O)OC; Pred:0.0; Label:0
Molecule_37:CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2; Pred:0.0; Label:0
Molecule_38:CN(C)C(=O)c1nc2n(n1)-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2; Pred:0.0; Label:0
Molecule_39:CCCCCCCCO; Pred:0.0; Label:0
Molecule_40:ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl; Pred:0.0; Label:0
Molecule_41:NCCNC(=O)c1ccc(Cl)cn1; Pred:0.0; Label:0
Molecule_42:CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1; Pred:0.0; Label:0
Molecule_43:C=C1CC[C@H]2C[C@@H]1C2(C)C; Pred:0.0; Label:0
Molecule_44:CC1=CC(=O)c2ccccc2C1=O; Pred:0.0; Label:0
Molecule_45:O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I; Pred:0.0; Label:0
Molecule_46:S=C([S-])NCCNC1=[SH][Zn+2][SH-]1; Pred:0.0; Label:0
Molecule_47:C=C1CC(=O)O1; Pred:0.0; Label:0
Molecule_48:O=C(O)COc1ccc(Cl)cc1Cl; Pred:0.0; Label:0
Molecule_49:O=c1[nH]cc(F)c(=O)[nH]1; Pred:0.0; Label:0
Molecule_50:C=CC(=O)NCO; Pred:0.0; Label:0
Molecule_51:CCOCCO; Pred:0.0; Label:0
Molecule_52:CC(=O)OC(C)(C)C; Pred:0.0; Label:0
Molecule_53:CCOC(C)=O; Pred:0.0; Label:0
Molecule_54:Nc1nc(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1I; Pred:0.0; Label:0
Molecule_55:ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl; Pred:0.0; Label:0
Molecule_56:O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1CCCCl; Pred:0.0; Label:0
Molecule_57:Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2; Pred:0.0; Label:0
Molecule_58:CCCCCCCCBr; Pred:0.0; Label:0
Molecule_59:Nc1nc(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1CCCl; Pred:0.0; Label:0
Molecule_60:O=C(O)/C=C/c1ccccc1; Pred:0.0; Label:0
Molecule_61:CC(C)(C#N)C(C)(C)C#N; Pred:0.0; Label:0
Molecule_62:O=C([O-])C(Cl)Cl; Pred:0.0; Label:0
Molecule_63:Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1; Pred:0.0; Label:0
Molecule_64:C/C=N/O; Pred:0.0; Label:0
Molecule_65:COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1; Pred:0.0; Label:0
Molecule_66:Nc1ccc2ccccc2c1/N=N/c1ccccc1; Pred:0.0; Label:0
Molecule_67:O=C1c2ccccc2C(=O)c2ccccc21; Pred:0.0; Label:0
Molecule_68:CCC(CO)[N+](=O)[O-]; Pred:0.0; Label:0
Molecule_69:O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1; Pred:0.0; Label:0
Molecule_70:Cc1ccccc1Cl; Pred:0.0; Label:0
Molecule_71:CCOC(N)=O; Pred:0.0; Label:0
Molecule_72:CCCCCC; Pred:0.0; Label:0
Molecule_73:C=C(C)[C@@H]1CC=C(C)CC1; Pred:0.0; Label:0
Molecule_74:OC/C=C\c1ccccc1; Pred:0.0; Label:0
Molecule_75:Oc1ccccc1; Pred:0.0; Label:0
Molecule_76:O=C(S)c1ccccc1; Pred:0.0; Label:0
Molecule_77:COc1cc(OC)c(Cl)c(-n2c(-c3ccccc3)cc(=O)c(C)c2-c2ccc(F)cc2)c1; Pred:0.0; Label:0
Molecule_78:CN(C)P(=O)(N(C)C)N(C)C; Pred:0.0; Label:0
Molecule_79:Cc1ccccc1N; Pred:0.0; Label:0
Molecule_80:CCOP(=O)(OCC)OCC; Pred:0.0; Label:0
Molecule_81:NCCCN1CCN(CCCN)CC1; Pred:0.0; Label:0
Molecule_82:O=C/C=C/c1ccccc1; Pred:0.0; Label:0
Molecule_83:CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O; Pred:0.0; Label:0
Molecule_84:CC(C)=CCC/C(C)=C/C=O; Pred:0.0; Label:0
Molecule_85:CCCCOC(C)=O; Pred:0.0; Label:0
Molecule_86:c1ccsc1; Pred:0.0; Label:0
Molecule_87:CN=C=O; Pred:0.0; Label:0
Molecule_88:OCc1ccccc1; Pred:0.0; Label:0
Molecule_89:CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O; Pred:0.0; Label:0
Molecule_90:CC1(C)C(=O)[C@]2(C)CC[C@H]1C2; Pred:0.0; Label:0
Molecule_91:CC=O; Pred:0.0; Label:0
Molecule_92:[C]; Pred:0.0; Label:0
Molecule_93:O=[Ti]=O; Pred:0.0; Label:0
Molecule_94:C=C(C)CCl; Pred:0.0; Label:0
Molecule_95:O=C=NCCCCCCN=C=O; Pred:0.0; Label:0
Molecule_96:CCOC(=O)CBr; Pred:0.0; Label:0
Molecule_97:Cc1ccccn1; Pred:0.0; Label:0
Molecule_98:CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1; Pred:0.0; Label:0
Molecule_99:OCC(CO)(CO)CO; Pred:0.0; Label:0
Molecule_100:C=CC(N)=O; Pred:0.0; Label:0
Molecule_101:O=C(O)c1ccccc1; Pred:0.0; Label:0
Molecule_102:CC(C)[C@H]1CC[C@H](C)C[C@H]1O; Pred:0.0; Label:0
Molecule_103:O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12; Pred:0.0; Label:0
Molecule_104:CC(C)(C)CC(C)(C)c1ccc(O)cc1; Pred:0.0; Label:0
Molecule_105:Nc1ccccc1; Pred:0.0; Label:0
Molecule_106:C=C1CC/C=C(\C)CC[C@@H]2[C@H]1CC2(C)C; Pred:0.0; Label:0
Molecule_107:S=S=[Ni][Ni][NiH]; Pred:0.0; Label:0
Molecule_108:O=S(=O)([O-])OOS(=O)(=O)[O-]; Pred:0.0; Label:0
Molecule_109:CN(C)c1cc[nH+]cc1; Pred:0.0; Label:0
Molecule_110:O=C(O)CCl; Pred:0.0; Label:0
Molecule_111:Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O; Pred:0.0; Label:0
Molecule_112:CCN(CC)c1ccccc1; Pred:0.0; Label:0
Molecule_113:CS(C)=O; Pred:0.0; Label:0
Molecule_114:CC(C)O; Pred:0.0; Label:0
Molecule_115:CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1; Pred:0.0; Label:0
Molecule_116:C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@H]2O; Pred:0.0; Label:0
Molecule_117:CCC[N+](=O)[O-]; Pred:0.0; Label:0
Molecule_118:C=COC(C)=O; Pred:0.0; Label:0
Molecule_119:Cc1ccccc1[N+](=O)[O-]; Pred:0.0; Label:0
Molecule_120:Cn1cnc2c1c(=O)[nH]c(=O)n2C; Pred:0.0; Label:0
Molecule_121:CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(C(C)CC)NC(=O)C(Cc2cn(OC)c3ccccc23)NC1=O; Pred:0.0; Label:0
Molecule_122:CN(C)c1ccccc1; Pred:0.0; Label:0
Molecule_123:O=C(OOC(=O)c1ccccc1)c1ccccc1; Pred:0.0; Label:0
Molecule_124:CCOC(=O)CC(C)=O; Pred:0.0; Label:0
Molecule_125:Cc1ccc(N)cc1; Pred:0.0; Label:0
Molecule_126:Cc1cc(Cl)ccc1OCC(=O)O; Pred:0.0; Label:0
Molecule_127:O=Cc1ccc2c(c1)OCO2; Pred:0.0; Label:0
Molecule_128:CC(C)C=O; Pred:0.0; Label:0
Molecule_129:Cc1ccc([N+](=O)[O-])cc1; Pred:0.0; Label:0
Molecule_130:CC(=O)CC(=O)Nc1ccc(C)cc1; Pred:0.0; Label:0
Molecule_131:O=[N+]([O-])c1ccccc1; Pred:0.0; Label:0
Molecule_132:CC(=O)[c-]1c(=O)cc(C)oc1=O; Pred:0.0; Label:0
Molecule_133:O=Cc1ccccc1; Pred:0.0; Label:0
Molecule_134:O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl; Pred:0.0; Label:0
Molecule_135:C[C@]1(Cn2ccnn2)[C@@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O; Pred:0.0; Label:0
Molecule_136:C[N+]1(C)CCOCC1; Pred:0.0; Label:0
Molecule_137:Cc1cccc(O)c1; Pred:0.0; Label:0
Molecule_138:CCC(C)(OO)OOC(C)(CC)OO; Pred:0.0; Label:0
Molecule_139:OCC(O)CO; Pred:0.0; Label:0
Molecule_140:ClCc1ccc(Cl)cc1; Pred:0.0; Label:0
Molecule_141:CC1CCCO1; Pred:0.0; Label:0
Molecule_142:O=C1CCCCCCCCCCCC(=O)OCCO1; Pred:0.0; Label:0
Molecule_143:Nc1nc(/C(=C\CC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1; Pred:0.0; Label:0
Molecule_144:NCc1ccc(CN)cc1; Pred:0.0; Label:0
Molecule_145:O=C1CCCO1; Pred:0.0; Label:0
Molecule_146:COc1cccc(N)c1; Pred:0.0; Label:0
Molecule_147:CC1=C2C(=CO[C@@H](C)[C@@H]2C)C(=O)C(=C(O)O)C1=O; Pred:0.0; Label:0
Molecule_148:C=C(C)CC(C)(C)C; Pred:0.0; Label:0
Molecule_149:O=C(O)c1ccc(C(=O)O)cc1; Pred:0.0; Label:0
Molecule_150:Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2; Pred:0.0; Label:0
Molecule_151:O=C(O)CN(CC(=O)O)CC(=O)O; Pred:0.0; Label:0
Molecule_152:COc1ccc(N)cc1; Pred:0.0; Label:0
Molecule_153:Cc1cnc[nH]1; Pred:0.0; Label:0
Molecule_154:COC(=O)c1ccc(C(=O)OC)cc1; Pred:0.0; Label:0
Molecule_155:CCNc1nc(Cl)nc(NC(C)C)n1; Pred:0.0; Label:0
Molecule_156:C[S-]; Pred:0.0; Label:0
Molecule_157:CCOCCCl; Pred:0.0; Label:0
Molecule_158:C[N+](C)(C)CCO; Pred:0.0; Label:0
Molecule_159:OCc1ccco1; Pred:0.0; Label:0
Molecule_160:Oc1cccc(O)c1; Pred:0.0; Label:0
Molecule_161:CNC(=O)c1c(N(C)N=O)ncn1C; Pred:0.0; Label:0
Molecule_162:CC(C)Nc1nc(Cl)nc(NC(C)C)n1; Pred:0.0; Label:0
Molecule_163:COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl; Pred:0.0; Label:0
Molecule_164:Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1; Pred:0.0; Label:0
Molecule_165:CC(C)=O; Pred:0.0; Label:0
Molecule_166:CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1; Pred:0.0; Label:0
Molecule_167:NCc1cccc(CN)c1; Pred:0.0; Label:0
Molecule_168:C=C(C)C; Pred:0.0; Label:0
Molecule_169:Cc1cccc([N+](=O)[O-])c1; Pred:0.0; Label:0
Molecule_170:O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1/C=C/Br; Pred:0.0; Label:0
Molecule_171:CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(O)=C(O)C1=O; Pred:0.0; Label:0
Molecule_172:ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl; Pred:0.0; Label:0
Molecule_173:CC(=O)c1ccccc1; Pred:0.0; Label:0
Molecule_174:CCCCOCCO; Pred:0.0; Label:0
Molecule_175:C=C(C)C(=O)OCCO; Pred:0.0; Label:0
Molecule_176:O=Cc1ccco1; Pred:0.0; Label:0
Molecule_177:Cc1ccc(Cl)cc1; Pred:0.0; Label:0
Molecule_178:c1ccccc1; Pred:0.0; Label:0
Molecule_179:CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC; Pred:0.0; Label:0
Molecule_180:NCC(=O)O; Pred:0.0; Label:0
Molecule_181:Cc1ccccc1Br; Pred:0.0; Label:0
Molecule_182:O=C(Br)CBr; Pred:0.0; Label:0
Molecule_183:SCc1ccccc1; Pred:0.0; Label:0
Molecule_184:O=C(O)c1ccc2c(c1)C(=O)OC2=O; Pred:0.0; Label:0
Molecule_185:CCO[Si](OCC)(OCC)OCC; Pred:0.0; Label:0
Molecule_186:CC(=O)OC(C)=O; Pred:0.0; Label:0
Molecule_187:CC(=O)Nc1ccc(O)cc1; Pred:0.0; Label:0
Molecule_188:O=C(O)CCCOc1ccc(Cl)cc1Cl; Pred:0.0; Label:0
Molecule_189:O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12; Pred:0.0; Label:0
Molecule_190:O=C1CCCCCN1; Pred:0.0; Label:0
Molecule_191:CCSC(=O)N1CCCCCC1; Pred:0.0; Label:0
